o_assignment_grade,o_free_time,o_num_assignments,a_submit,a_rest,a_work,r,op_assignment_grade,op_free_time,op_num_assignments,ap_submit,ap_rest,ap_work,day
,4,0,False,0.7,0.3,0.35602310641526214,,5,1,True,,,0
,4,0,False,0.3,0.7,0.3147227835206208,,6,1,False,0.3,0.7,0
,0,0,False,0.5,0.5,0.17183561239671763,,1,1,True,,,0
,6,0,False,0.9,0.1,0.11626819973782687,,5,1,False,0.5,0.5,0
,6,0,False,0.0,1.0,-0.034159977285151244,,6,1,False,0.6,0.4,0
,5,0,False,0.8,0.2,0.33929102148316614,,3,1,False,0.3,0.7,0
,6,0,False,0.8,0.2,0.1942694850251806,,2,1,False,0.9,0.1,0
,3,0,False,0.9,0.1,0.19498959257398596,,1,1,False,0.1,0.9,0
,3,0,False,0.2,0.8,0.43394465782681485,,4,1,False,0.8,0.2,0
,2,0,False,0.7,0.3,0.06109132211331231,,7,1,False,0.4,0.6,0
,6,0,False,0.0,1.0,0.5616140175620813,,5,1,True,,,0
,3,0,False,0.1,0.9,0.3140105222063718,,6,1,True,,,0
,3,0,False,0.7,0.3,0.10987961841413396,,4,1,False,0.9,0.1,0
,3,0,False,0.7,0.3,0.26422165708434875,,4,1,False,0.7,0.3,0
,7,0,False,0.9,0.1,0.18119480447825104,,5,1,False,0.6,0.4,0
,4,0,False,0.6,0.4,-0.19878172640657626,,7,1,False,0.5,0.5,0
,2,0,False,0.2,0.8,0.5135762315625663,,6,1,False,0.6,0.4,0
,0,0,False,0.8,0.2,-0.29626790052412544,,3,1,True,,,0
,4,0,False,0.9,0.1,0.471890632345099,,7,1,True,,,0
,0,0,False,0.4,0.6,-0.10816494528778153,,1,1,False,1.0,0.0,0
,1,0,False,0.7,0.3,1.035674996013781,,6,1,False,0.7,0.3,0
,2,0,False,0.6,0.4,0.24318643926335387,,1,1,True,,,0
,5,0,False,0.3,0.7,0.5908444042422152,,7,1,False,0.9,0.1,0
,2,0,False,0.2,0.8,-0.05831561824672471,,7,1,False,0.8,0.2,0
,3,0,False,0.3,0.7,0.6714021847106101,,2,1,False,0.6,0.4,0
,6,0,False,0.8,0.2,-0.5622602176919407,,1,1,True,,,0
,3,0,False,0.6,0.4,0.1410957764607237,,2,1,True,,,0
,6,0,False,0.7,0.3,0.6073868023380065,,4,1,False,0.4,0.6,0
,2,0,False,0.1,0.9,0.6589295418712019,,6,1,True,,,0
,4,0,False,0.1,0.9,0.41568011021509865,,0,1,False,0.3,0.7,0
,1,0,False,0.5,0.5,0.6174354506963562,,5,1,True,,,0
,1,0,False,1.0,0.0,0.06712752016618499,,2,1,False,0.4,0.6,0
,2,0,False,0.8,0.2,0.5497522006436996,,1,1,False,0.0,1.0,0
,4,0,False,0.1,0.9,0.3635594089513987,,4,1,False,0.1,0.9,0
,6,0,False,0.3,0.7,0.41047441232387627,,3,1,False,0.6,0.4,0
,5,1,True,,,0.010000000000000009,98.36634795887093,7,0,False,1.0,0.0,1
,6,1,False,0.3,0.7,0.06531031455804115,,3,1,False,0.5,0.5,1
,1,1,True,,,0.010000000000000009,97.29107286129839,3,0,False,0.9,0.1,1
,5,1,False,0.5,0.5,0.5032513644593408,,7,1,False,0.9,0.1,1
,6,1,False,0.6,0.4,-0.36285008829485665,,0,1,False,0.4,0.6,1
,3,1,False,0.3,0.7,0.21803478642459995,,1,1,True,,,1
,2,1,False,0.9,0.1,-0.04177037471192202,,4,1,True,,,1
,1,1,False,0.1,0.9,0.5071409081524167,,4,1,True,,,1
,4,1,False,0.8,0.2,0.13576941857266994,,0,1,False,0.2,0.8,1
,7,1,False,0.4,0.6,0.16419670745259873,,7,1,True,,,1
,5,1,True,,,0.010000000000000009,88.80038143934081,2,0,False,0.8,0.2,1
,6,1,True,,,0.010000000000000009,100.0,4,0,False,0.5,0.5,1
,4,1,False,0.9,0.1,-0.22518795206298958,,3,1,False,0.7,0.3,1
,4,1,False,0.7,0.3,-0.27222603942216056,,3,1,False,0.9,0.1,1
,5,1,False,0.6,0.4,0.21586632297853986,,0,1,True,,,1
,7,1,False,0.5,0.5,0.25320829077953805,,2,1,False,0.2,0.8,1
,6,1,False,0.6,0.4,0.13877875946034396,,1,1,True,,,1
,3,1,True,,,0.010000000000000009,80.34666983522814,0,0,False,1.0,0.0,1
,7,1,True,,,0.010000000000000009,86.33011377766336,2,0,False,0.7,0.3,1
,1,1,False,1.0,0.0,0.16843116014830622,,3,1,False,0.9,0.1,1
,6,1,False,0.7,0.3,0.10646131003502901,,1,1,False,0.2,0.8,1
,1,1,True,,,0.010000000000000009,80.45220484145605,2,0,False,0.7,0.3,1
,7,1,False,0.9,0.1,-0.38114672772251623,,3,1,False,0.9,0.1,1
,7,1,False,0.8,0.2,0.1944994636131807,,6,1,True,,,1
,2,1,False,0.6,0.4,0.07121550462501847,,1,1,False,0.9,0.1,1
,1,1,True,,,0.010000000000000009,100.0,6,0,False,0.1,0.9,1
,2,1,True,,,0.01,93.41142627177577,7,0,False,0.3,0.7,1
,4,1,False,0.4,0.6,-0.20567377144188814,,3,1,True,,,1
,6,1,True,,,0.010000000000000009,86.85223887972869,2,0,False,1.0,0.0,1
,0,1,False,0.3,0.7,0.24465593000401653,,7,1,True,,,1
,5,1,True,,,0.010000000000000009,87.14945371270237,3,0,False,0.5,0.5,1
,2,1,False,0.4,0.6,0.41055519048582934,,4,1,False,0.7,0.3,1
,1,1,False,0.0,1.0,0.3947981685966284,,4,1,False,0.8,0.2,1
,4,1,False,0.1,0.9,0.503716148830316,,4,1,False,0.6,0.4,1
,3,1,False,0.6,0.4,-0.15307835523673496,,5,1,True,,,1
98.36634795887093,7,0,False,1.0,0.0,0.8272355104834745,70.93389449714724,0,0,False,0.4,0.6,2
,3,1,False,0.5,0.5,-0.1623707990590597,,0,1,True,,,2
97.29107286129839,3,0,False,0.9,0.1,0.18852794466151057,56.61405779061333,0,0,False,1.0,0.0,2
,7,1,False,0.9,0.1,-0.2320780392019432,,7,1,True,,,2
,0,1,False,0.4,0.6,-0.044660319269218596,,3,1,False,0.4,0.6,2
,1,1,True,,,0.010000000000000009,91.68879736608842,5,0,False,0.9,0.1,2
,4,1,True,,,0.0,98.13884464447335,1,0,False,1.0,0.0,2
,4,1,True,,,0.009999999999999995,99.04251938076757,2,0,False,0.6,0.4,2
,0,1,False,0.2,0.8,0.6085919274081908,,4,1,True,,,2
,7,1,True,,,0.010000000000000009,100.0,5,0,False,0.1,0.9,2
88.80038143934081,2,0,False,0.8,0.2,0.3461372359597491,,0,0,False,0.6,0.4,2
100.0,4,0,False,0.5,0.5,0.40782141907285996,,5,0,False,0.4,0.6,2
,3,1,False,0.7,0.3,0.13954123413819508,,2,1,True,,,2
,3,1,False,0.9,0.1,0.32793980796469974,,3,1,False,0.6,0.4,2
,0,1,True,,,0.01,96.55682117179143,6,0,False,0.6,0.4,2
,2,1,False,0.2,0.8,0.7559034508617486,,1,1,False,0.7,0.3,2
,1,1,True,,,0.0,95.03592901342,2,0,False,0.6,0.4,2
80.34666983522814,0,0,False,1.0,0.0,0.4012163274005729,,4,0,False,1.0,0.0,2
86.33011377766336,2,0,False,0.7,0.3,0.08827995995261281,,4,0,False,0.9,0.1,2
,3,1,False,0.9,0.1,0.12094668394157188,,2,1,True,,,2
,1,1,False,0.2,0.8,0.30240534415085113,,2,1,False,0.3,0.7,2
80.45220484145605,2,0,False,0.7,0.3,0.3390800832066762,,0,0,False,0.4,0.6,2
,3,1,False,0.9,0.1,0.6011212932808159,,6,1,True,,,2
,6,1,True,,,0.0,93.88140992287728,5,0,False,0.4,0.6,2
,1,1,False,0.9,0.1,-0.31171079867274565,,2,1,False,0.1,0.9,2
100.0,6,0,False,0.1,0.9,0.6936992678903169,,1,0,False,0.3,0.7,2
93.41142627177577,7,0,False,0.3,0.7,0.41371553395239336,,3,0,False,0.9,0.1,2
,3,1,True,,,0.010000000000000009,98.97489120077394,4,0,False,0.5,0.5,2
86.85223887972869,2,0,False,1.0,0.0,-0.11759313812180994,,3,0,False,0.1,0.9,2
,7,1,True,,,0.010000000000000009,100.0,7,0,False,1.0,0.0,2
