o_free_time,o_num_assignments,a_rest,a_grading,a_pd,r,op_free_time,op_num_assignments,ap_rest,ap_grading,ap_pd,day
3,0,0.2,0.8,-0.0,1.74,6,0,0.2,0.4,0.4,0
6,0,0.2,0.4,0.4,1.3803999999999998,5,11,0.4,0.3,0.3,1
5,11,0.4,0.3,0.3,1.3038,4,11,0.9,-0.0,0.1,2
4,11,0.9,-0.0,0.1,1.0351,3,12,0.0,0.1,0.9,3
3,12,0.0,0.1,0.9,0.9918999999999999,2,26,0.2,0.0,0.8,4
2,26,0.2,0.0,0.8,0.8807999999999999,6,34,0.2,0.2,0.6,5
6,34,0.2,0.2,0.6,1.0086,7,39,0.5,0.1,0.4,6
7,39,0.5,0.1,0.4,-0.07410000000000028,0,46,0.6,0.1,0.3,7
0,46,0.6,0.1,0.3,0.8972999999999998,6,50,0.1,0.4,0.5,8
6,50,0.1,0.4,0.5,1.0624999999999996,3,55,0.5,0.2,0.3,9
3,55,0.5,0.2,0.3,0.9422999999999997,1,56,0.8,0.0,0.2,10
1,56,0.8,0.0,0.2,0.7901999999999998,6,64,0.5,0.0,0.5,11
6,64,0.5,0.0,0.5,0.7104999999999997,4,74,0.3,0.6,0.1,12
4,74,0.3,0.6,0.1,0.050099999999999624,0,82,0.7,0.1,0.2,13
0,82,0.7,0.1,0.2,0.6716999999999996,1,86,0.3,0.6,0.1,14
1,86,0.3,0.6,0.1,0.7980999999999994,3,95,0.4,0.0,0.6,15
3,95,0.4,0.0,0.6,0.15559999999999963,5,107,0.0,0.2,0.8,16
5,107,0.0,0.2,0.8,0.10279999999999945,2,112,0.3,0.3,0.4,17
2,112,0.3,0.3,0.4,0.1393999999999994,6,114,0.1,0.8,0.1,18
6,114,0.1,0.8,0.1,0.31009999999999904,7,124,0.2,0.7,0.1,19
7,124,0.2,0.7,0.1,0.3535999999999989,7,124,0.5,0.4,0.1,20
7,124,0.5,0.4,0.1,0.32109999999999905,3,118,0.7,0.1,0.2,21
3,118,0.7,0.1,0.2,0.023199999999999332,6,122,0.9,0.1,-0.0,22
6,122,0.9,0.1,-0.0,-0.17550000000000066,1,131,0.3,0.2,0.5,23
1,131,0.3,0.2,0.5,-0.27950000000000086,4,135,0.1,0.4,0.5,24
4,135,0.1,0.4,0.5,-0.35050000000000103,5,144,0.4,0.2,0.4,25
5,144,0.4,0.2,0.4,-0.5816000000000007,7,150,0.2,0.3,0.5,26
7,150,0.2,0.3,0.5,-1.691500000000001,0,157,0.5,0.1,0.4,27
0,157,0.5,0.1,0.4,-0.9121000000000006,6,162,0.3,0.2,0.5,28
6,162,0.3,0.2,0.5,-1.0835000000000008,7,171,0.4,0.5,0.1,29
7,171,0.4,0.5,0.1,-1.064900000000001,3,180,0.5,0.2,0.3,30
3,180,0.5,0.2,0.3,-1.3177000000000008,5,184,0.4,0.6,-0.0,31
5,184,0.4,0.6,-0.0,-1.2400000000000009,7,193,0.0,0.4,0.6,32
7,193,0.0,0.4,0.6,-1.3554000000000013,2,192,0.5,0.3,0.2,33
2,192,0.5,0.3,0.2,-1.4683000000000008,1,197,0.4,-0.0,0.6,34
